row_idx,prototype_collection_title,real_mubi_slug,real_collection_title,verification_status,film_title,film_director,film_year,film_country,film_status
0,SUMMER IN THE CITIES,summer-in-the-cities-uk,SUMMER IN THE CITIES,verified_discrepancy,Human Traffic,Justin Kerrigan,1999,Ireland,real_and_in_prototype
0,SUMMER IN THE CITIES,summer-in-the-cities-uk,SUMMER IN THE CITIES,verified_discrepancy,Do the Right Thing,Spike Lee,1989,United States,real_and_in_prototype
0,SUMMER IN THE CITIES,summer-in-the-cities-uk,SUMMER IN THE CITIES,verified_discrepancy,The Watermelon Woman,Cheryl Dunye,1996,United States,real_but_missing_from_prototype
0,SUMMER IN THE CITIES,summer-in-the-cities-uk,SUMMER IN THE CITIES,verified_discrepancy,Passing Summer,Angela Schanelec,2001,Germany,real_and_in_prototype
0,SUMMER IN THE CITIES,summer-in-the-cities-uk,SUMMER IN THE CITIES,verified_discrepancy,Days of the Bagnold Summer,Simon Bird,2019,United Kingdom,real_and_in_prototype
0,SUMMER IN THE CITIES,summer-in-the-cities-uk,SUMMER IN THE CITIES,verified_discrepancy,Rotting in the Sun,Sebastián Silva,2023,United States,real_but_missing_from_prototype
0,SUMMER IN THE CITIES,summer-in-the-cities-uk,SUMMER IN THE CITIES,verified_discrepancy,"Oslo, August 31st",Joachim Trier,2011,Norway,real_but_missing_from_prototype
0,SUMMER IN THE CITIES,summer-in-the-cities-uk,SUMMER IN THE CITIES,verified_discrepancy,Dog Day Afternoon,Sidney Lumet,1975,United States,FABRICATED_IN_PROTOTYPE_NOT_REAL
0,SUMMER IN THE CITIES,summer-in-the-cities-uk,SUMMER IN THE CITIES,verified_discrepancy,Kids,Larry Clark,1995,United States,FABRICATED_IN_PROTOTYPE_NOT_REAL
0,SUMMER IN THE CITIES,summer-in-the-cities-uk,SUMMER IN THE CITIES,verified_discrepancy,Chungking Express,Wong Kar Wai,1994,Hong Kong,FABRICATED_IN_PROTOTYPE_NOT_REAL
0,SUMMER IN THE CITIES,summer-in-the-cities-uk,SUMMER IN THE CITIES,verified_discrepancy,Wild Style,Charlie Ahearn,1982,United States,FABRICATED_IN_PROTOTYPE_NOT_REAL
1,CANNES TAKEOVER,cannes-film-festival,CANNES TAKEOVER,verified_discrepancy,Amores Perros,Alejandro González Iñárritu,2000,Mexico,real_but_missing_from_prototype
1,CANNES TAKEOVER,cannes-film-festival,CANNES TAKEOVER,verified_discrepancy,The Myth of the American Sleepover,David Robert Mitchell,2010,United States,real_but_missing_from_prototype
1,CANNES TAKEOVER,cannes-film-festival,CANNES TAKEOVER,verified_discrepancy,Heaven's Gate,Michael Cimino,1980,United States,real_and_in_prototype
1,CANNES TAKEOVER,cannes-film-festival,CANNES TAKEOVER,verified_discrepancy,God is Shy,Jocelyn Charles,2025,France,real_and_in_prototype
1,CANNES TAKEOVER,cannes-film-festival,CANNES TAKEOVER,verified_discrepancy,Bird,Andrea Arnold,2024,United Kingdom,real_and_in_prototype
1,CANNES TAKEOVER,cannes-film-festival,CANNES TAKEOVER,verified_discrepancy,Swimming Pool,François Ozon,2003,France,real_but_missing_from_prototype
1,CANNES TAKEOVER,cannes-film-festival,CANNES TAKEOVER,verified_discrepancy,Titane,Julia Ducournau,2021,France,real_and_in_prototype
1,CANNES TAKEOVER,cannes-film-festival,CANNES TAKEOVER,verified_discrepancy,Portrait of a Lady on Fire,Céline Sciamma,2019,France,real_but_missing_from_prototype
1,CANNES TAKEOVER,cannes-film-festival,CANNES TAKEOVER,verified_discrepancy,The Handmaiden,Park Chan-wook,2016,South Korea,real_but_missing_from_prototype
