"Title","Director","Year","Country","Synopsis","Image","TitleTreatment","Artwork","FocalX","FocalY","OurTake","TrailerURL","PreviewURL"
"No Other Choice","Park Chan-wook","2025","South Korea","Looking for a job? When a happy family man is dismissed after twenty-five years of loyal service at a paper company, he finds the perfect solution to land his next role: truly eliminate the competition.","https://assets.mubicdn.net/images/film/255497/image-w448.jpg?1753801050","https://images.mubicdn.net/images/artworks/947983/cache-947983-1773255621/images-original.png","https://images.mubicdn.net/images/artworks/846405/cache-846405-1764964398/images-original.png","0.51","0.63","Desperate times call for desperate measures in this wild satirical ride from Korean master Park Chan-wook, starring Lee Byung-hun as a trampled worker with nothing to lose. An unruly blend of ingenious visuals and twisted humor, No Other Choice delivers a brutal takedown of the cutthroat job market.","https://trailers.mubicdn.net/255497/optimised/1080p-t-no-other-choice_en_us_1764282418.mp4","https://trailers.mubicdn.net/255497/optimised/240p-t-no-other-choice_en_us_1764282418.mp4"
"It Was Just an Accident","Jafar Panahi","2025","Iran, France","When an auto mechanic encounters the man who may have been his torturer in prison, he kidnaps him to exact vengeance. But since the sole clue to Eghbal’s identity is the squeak of his prosthetic leg, Vahid turns to other now-freed victims for confirmation. And the danger only escalates.","https://assets.mubicdn.net/images/film/441162/image-w448.jpg?1747995632","https://images.mubicdn.net/images/artworks/941331/cache-941331-1772793963/images-original.png","https://images.mubicdn.net/images/artworks/842505/cache-842505-1762811370/images-original.png","0.522284","0.420792","Jafar Panahi won the Palme d'Or for this tour-de-force morality tale, which ignites the pursuit of truth with dark comedy and impassioned urgency. Driving through obstinate barriers of authoritarianism and censorship, this is a defining work of political cinema from one of Iran's great auteurs.","https://trailers.mubicdn.net/441162/optimised/1080p-t-it-was-just-an-accident_en_us_1761269943.mp4","https://trailers.mubicdn.net/441162/optimised/240p-t-it-was-just-an-accident_en_us_1761269943.mp4"
"Sentimental Value","Joachim Trier","2025","Norway, Germany","Nora, a successful stage actress, reunites with her estranged father, Gustav Borg—a once-renowned film director planning a comeback with a script based on their family. When Gustav offers Nora the lead role, which she promptly declines, he turns his attention to a rising Hollywood starlet instead.","https://assets.mubicdn.net/images/film/400360/image-w448.jpg?1757575671","https://images.mubicdn.net/images/artworks/920723/cache-920723-1770742695/images-original.png","https://images.mubicdn.net/images/artworks/885870/cache-885870-1765220790/images-original.png","0.77","0.4","Eskil Vogt and Joachim Trier—the writer-director dream team behind The Worst Person in the World—return with this stunningly observed family drama. Winner of the Best International Feature Oscar®, and featuring an all-star cast, Sentimental Value traces the fault lines between vanity, art, and life.","https://trailers.mubicdn.net/400360/optimised/1080p-t-sentimental-value_en_us_1770128174.mp4","https://trailers.mubicdn.net/400360/optimised/240p-t-sentimental-value_en_us_1770128174.mp4"
"Die My Love","Lynne Ramsay","2025","United States, United Kingdom","Grace and her partner Jackson move into an old country house. She pursues her dream of writing, and the couple welcome a baby soon after. However, with Jackson frequently absent, and the pressures of domestic life weighing on her, Grace begins to unravel, leaving a path of destruction in her wake.","https://assets.mubicdn.net/images/film/360569/image-w448.jpg?1761916729","https://images.mubicdn.net/images/artworks/886805/cache-886805-1767128125/images-original.png","https://images.mubicdn.net/images/artworks/874526/cache-874526-1762372786/images-original.png","0.52","0.44","Instincts both maternal and carnal clatter like shards of glass in a blender in this uncompromising portrait of a woman on the edge from director Lynne Ramsay. Starring Jennifer Lawrence and Robert Pattinson in a frenzied pas de deux, Die My Love inflames the exposed nerves of delirium and desire.","https://trailers.mubicdn.net/360569/optimised/1080p-t-die-my-love_en_us_1766483513.mp4","https://trailers.mubicdn.net/360569/optimised/240p-t-die-my-love_en_us_1766483513.mp4"
"The Mastermind","Kelly Reichardt","2025","United States","In a sedate Massachusetts suburb circa 1970, unemployed family man and amateur art thief J.B. Mooney sets out on his first heist. With the museum cased and accomplices recruited, he has an airtight plan. Or so he thinks.","https://assets.mubicdn.net/images/film/422583/image-w448.jpg?1765544027","https://images.mubicdn.net/images/artworks/886806/cache-886806-1765797028/images-original.png","https://images.mubicdn.net/images/artworks/842462/cache-842462-1761846908/images-original.png","0.35","0.01","With an artful eye and jazzy unpredictability, Kelly Reichardt unravels the threads of the heist film in this standout from Cannes. As an antihero kicking about on the brink of the '70s, Josh O'Connor is unmissable, lending rumpled discontent to this ironic, wry vision of American individualism.","https://trailers.mubicdn.net/422583/optimised/1080p-t-the-mastermind_en_us_1765549437.mp4","https://trailers.mubicdn.net/422583/optimised/240p-t-the-mastermind_en_us_1765549437.mp4"
"Hot Milk","Rebecca Lenkiewicz","2025","United Kingdom","Sofia and her ailing mother, Rose, travel to the Spanish seaside town of Almería to seek the help of Dr. Gómez, an enigmatic healer who may hold the key to Rose’s mysterious illness. As long-buried tensions simmer between them, Sofia finds herself drawn to the magnetic and free-spirited Ingrid.","https://assets.mubicdn.net/images/film/332978/image-w448.jpg?1746718753","https://images.mubicdn.net/images/artworks/849389/cache-849389-1754999024/images-original.png","https://images.mubicdn.net/images/artworks/843465/cache-843465-1752059529/images-original.png","0.312935","0.437037","Rising star Emma Mackey stuns in this searing adaptation of Deborah Levy's acclaimed novel about sensual longing and animal instincts. Intoxicated by the sun and salt sensations of the Andalusian coast, her hot-headed heroine swims clear of her mother's stinging gaze in a break for self-realization.","https://trailers.mubicdn.net/332978/optimised/1080p-t-hot-milk-2023_en_us_1755853544.mp4","https://trailers.mubicdn.net/332978/optimised/240p-t-hot-milk-2023_en_us_1755853544.mp4"
"Harvest","Athina Rachel Tsangari","2024","United Kingdom, Germany","Over seven hallucinatory days, a village with no name, in an undefined time and place, disappears. Townsman-turned-farmer Walter Thirsk and befuddled lord of the manor Charles Kent are childhood friends about to face an invasion from the outside world: the trauma of modernity.","https://assets.mubicdn.net/images/film/400471/image-w448.jpg?1745502898","https://images.mubicdn.net/images/artworks/845510/cache-845510-1753120342/images-original.png","https://images.mubicdn.net/images/artworks/841602/cache-841602-1752431302/images-original.jpg","0.546592","0.298765","Textured with russet reds and pollinic yellows, Athina Rachel Tsangari's spellbinding allegory gleans an atmospheric folk tale from a rural idyll. As landowners sow the seeds of modern capital, Sean Price Williams reaps horror and beauty from the earth with swirling, immersive cinematography.","https://trailers.mubicdn.net/400471/optimised/1080p-t-harvest_en_us_1754590448.mp4","https://trailers.mubicdn.net/400471/optimised/240p-t-harvest_en_us_1754590448.mp4"
"Magic Farm","Amalia Ulman","2025","Argentina, United States","When a misguided American documentary crew in search of their next viral segment ends up in the wrong town in rural Argentina, chaos ensues. As they collaborate with locals to fake a new music trend, unexpected relationships form and an unfolding health crisis becomes apparent.","https://assets.mubicdn.net/images/film/418722/image-w448.jpg?1745503382","https://images.mubicdn.net/images/artworks/779454/cache-779454-1748617975/images-original.png","https://images.mubicdn.net/images/artworks/840983/cache-840983-1752044327/images-original.png","0.538997","0.470297","Things get weird in Amalia Ulman's kaleidoscopic film, a colorful comedy of errors and an imaginative send-up of millennial media. Starring Simon Rex and Chloë Sevigny, this story of a frantic search for an internet sensation is electrified by wit, subversion, and distinctively fluorescent style.","https://trailers.mubicdn.net/418722/optimised/1080p-t-magic-farm_en_us_1749218333.mp4","https://trailers.mubicdn.net/418722/optimised/240p-t-magic-farm_en_us_1749218333.mp4"
"The End","Joshua Oppenheimer","2024","Denmark, Germany","Twenty-five years after the Earth’s environmental collapse, Mother, Father and Son cling to a sense of normalcy while confined to a palatial bunker. But when a Girl turns up at their doorstep, with her own past and perspective, the family’s blind optimism begins to unravel.","https://assets.mubicdn.net/images/film/391666/image-w448.jpg?1747444187","https://images.mubicdn.net/images/artworks/776013/cache-776013-1746697714/images-original.png","https://images.mubicdn.net/images/artworks/703963/cache-703963-1747394919/images-original.png","0.00278552","0.185644","The golden age of Hollywood musicals is given a postapocalyptic twist in this dazzling epic from Oscar®-nominated filmmaker Joshua Oppenheimer. With Tilda Swinton and George MacKay leading a stellar ensemble cast, The End journeys to the end of the world to explore the limits of our shared humanity.","https://trailers.mubicdn.net/391666/optimised/1080p-t-the-end_en_us_1753452419.mp4","https://trailers.mubicdn.net/391666/optimised/240p-t-the-end_en_us_1753452419.mp4"
"Grand Tour","Miguel Gomes","2024","Portugal, Italy","Burma, 1917. Edward, a civil servant for the British Empire, jilts his lovestruck fiancée Molly the day she arrives to be married. As he flees into an unexpected odyssey across Asia, the free-spirited Molly—amused by his moves—follows in pursuit, embarking on a globe-trotting cat-and-mouse chase.","https://assets.mubicdn.net/images/film/400395/image-w448.jpg?1745502227","https://images.mubicdn.net/images/artworks/769239/cache-769239-1744912749/images-original.png","https://images.mubicdn.net/images/artworks/759493/cache-759493-1744294108/images-original.png","0.249304","0.512376","Winner of the Best Director prize at Cannes, Miguel Gomes's transcendent travelogue sets sail for spellbinding horizons, where romance and adventure thrillingly entwine. Guided by the capricious will of the heart, this epic tale of love on the run is a movable feast for the mind and the senses.","https://trailers.mubicdn.net/400395/optimised/720p-t-grand-tour_en_us_1740069576.mp4","https://trailers.mubicdn.net/400395/optimised/240p-t-grand-tour_en_us_1740069576.mp4"
"September Says","Ariane Labed","2024","France, United Kingdom","Sisters September and July share an intense bond, speaking in a secret language and keeping the outside world at a distance. After September is suspended from school, their mother brings them to a remote house on the Irish coast—where July begins to resist her sister’s increasingly sadistic control.","https://assets.mubicdn.net/images/film/409204/image-w448.jpg?1745502559","https://images.mubicdn.net/images/artworks/763887/cache-763887-1742401148/images-original.png","https://images.mubicdn.net/images/artworks/767097/cache-767097-1744293261/images-original.png","0.529903","0.251852","Power dynamics seesaw and daring playground games become deadly serious in Ariane Labed's startlingly unique first feature as director. Offering up a dark, distinctive vision of adolescence and girlhood, this unpredictable film sees the strangeness of the sibling bond for its wild, feral intensity.","https://trailers.mubicdn.net/409204/optimised/1080p-t-september-says_en_us_1744281011.mp4","https://trailers.mubicdn.net/409204/optimised/240p-t-september-says_en_us_1744281011.mp4"
"Bring Them Down","Christopher Andrews","2024","Ireland, United Kingdom","Michael, the last son of a shepherding family, lives with his ailing father, Ray. When a conflict with rival farmer Gary and his son Jack escalates, a devastating chain of events leaves both families permanently altered.","https://assets.mubicdn.net/images/film/369358/image-w448.jpg?1745501001","https://images.mubicdn.net/images/artworks/764763/cache-764763-1743011326/images-original.png","https://images.mubicdn.net/images/artworks/762389/cache-762389-1741355668/images-original.png","0.109875","0.503704","Christopher Abbott and Barry Keoghan are arch enemies in this gripping revenge thriller, in which Ireland's rugged landscapes echo inner torment. Pulling apart the western trope of the strong, silent type, Christopher Andrews's hard-hitting debut feature reveals old traumas behind fresh wounds.","https://trailers.mubicdn.net/369358/optimised/1080p-t-bring-them-down_en_us_1743099201.mp4","https://trailers.mubicdn.net/369358/optimised/240p-t-bring-them-down_en_us_1743099201.mp4"
"The Girl with the Needle","Magnus von Horn","2024","Denmark, Poland","Struggling to survive in post-WWI Copenhagen, a newly unemployed and pregnant young woman is taken in by a charismatic elder to help run an underground adoption agency. The two form an unexpected bond, until a sudden discovery changes everything.","https://assets.mubicdn.net/images/film/401325/image-w448.jpg?1745502562","https://images.mubicdn.net/images/artworks/751317/cache-751317-1737373622/images-original.png","https://images.mubicdn.net/images/artworks/742378/cache-742378-1732795323/images-original.png","0.495822","0.537129","An Oscar®-nominated marvel of exquisite empathy, Magnus von Horn's masterful vision of early 20th-century Denmark searches for tenderness and morality under fraught circumstances. Drawing on chilling true events that continue to resonate, this gothic parable is a visceral reckoning from the past.","https://trailers.mubicdn.net/401325/optimised/1080p-t-the-girl-with-the-needle_en_us_1737727549.mp4","https://trailers.mubicdn.net/401325/optimised/240p-t-the-girl-with-the-needle_en_us_1737727549.mp4"
"Dahomey","Mati Diop","2024","France, Senegal","In 2021, 26 objects from the Kingdom of Dahomey leave Paris and are returned to present-day Benin. How should these art treasures, stolen from ancestors, be received in a country which has reinvented itself in their absence?","https://assets.mubicdn.net/images/film/401676/image-w448.jpg?1745502278","https://images.mubicdn.net/images/artworks/742606/cache-742606-1733754427/images-original.png","https://images.mubicdn.net/images/artworks/679615/cache-679615-1726153634/images-original.png","0.516713","0.512376","Winner of the Golden Bear at the 2024 Berlinale, Mati Diop's dynamic film brings a dazzling sense of imagination to vital issues of self-determination and restitution. Amplifying voices from beyond the walls of international museums, this spellbinding work redefines the spaces of culture and art.","https://trailers.mubicdn.net/401676/optimised/1080p-t-dahomey_en_us_1734089052.mp4","https://trailers.mubicdn.net/401676/optimised/240p-t-dahomey_en_us_1734089052.mp4"
"The Substance","Coralie Fargeat","2024","United States, United Kingdom","Have you ever dreamt of a better version of yourself? You. Only better in every way. You should try this new product, The Substance.  IT CHANGED MY LIFE.","https://assets.mubicdn.net/images/film/332868/image-w448.jpg?1745502662","https://images.mubicdn.net/images/artworks/708915/cache-708915-1727450498/images-original.png","https://images.mubicdn.net/images/artworks/690161/cache-690161-1728246736/images-original.png","0.694019","0.419753","With sharp wit and cathartic intensity, Coralie Fargeat turns toxic beauty culture inside out in her Oscar®-winning latest feature. Powered by a career-best performance from Demi Moore, The Substance fearlessly bulldozes its way into the midnight-movie pantheon and the feminist canon.","https://trailers.mubicdn.net/332868/optimised/1080p-t-the-substance_en_us_1730348512.mp4","https://trailers.mubicdn.net/332868/optimised/240p-t-the-substance_en_us_1730348512.mp4"
"A Natural History of the Studio","William Kentridge","2024","South Africa, United States","South African artist William Kentridge investigates life in the studio. He imagines his studio as an enlarged head, where multiple dialogues occur between the artist and himself. Kentridge begins interviewing his double. Soon, the whole studio is populated by Kentridge’s many selves.","https://assets.mubicdn.net/images/film/419520/image-w448.jpg?1745503006","https://images.mubicdn.net/images/artworks/723159/cache-723159-1729210212/images-original.png","https://images.mubicdn.net/images/artworks/840672/cache-840672-1752043007/images-original.png","0.961003","0.725248","Step inside the roving creative imagination of William Kentridge with this exclusive nine-part series. An ode to procrastination, pacing, and messy desks, this playful first episode sees the South African artist invoke a doppelgänger with whom to squabble over the intangible seeds of inspiration.","https://trailers.mubicdn.net/419520/optimised/1080p-t-self-portrait-as-a-coffee-pot-episode-1_en_us_1729185407.mp4","https://trailers.mubicdn.net/419520/optimised/240p-t-self-portrait-as-a-coffee-pot-episode-1_en_us_1729185407.mp4"
