id,title,release_date,vote_average,vote_count,popularity,runtime,budget,revenue,genres,overview,poster_url,backdrop_url,cast,director
1304313,Lee Cronin's The Mummy,2026-04-15,8.065,1469,583.1981,133,22000000,90152113,"Horror, Mystery","The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",https://image.tmdb.org/t/p/original/uIb9Tvae5haF0XcQBaPyufmxbb0.jpg,https://image.tmdb.org/t/p/original/xugEpZk9YQ0DIz1aFvH5HGkqpZK.jpg,"Jack Reynor, Laia Costa, May Calamawy, Natalie Grace, Shylo Molina",Lee Cronin
1339713,Obsession,2026-05-13,7.991,400,501.5672,108,750000,148001000,Horror,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",https://image.tmdb.org/t/p/original/6X4qFYBsG3bpWDG2XIKqr04kFJa.jpg,https://image.tmdb.org/t/p/original/rZfmzpixLKLR3Hg2u0WgC7XLFl8.jpg,"Michael Johnston, Inde Navarrette, Cooper Tomlinson, Megan Lawless, Andy Richter",Curry Barker
1380291,Tom Clancy's Jack Ryan: Ghost War,2026-05-20,7.162,426,368.4056,107,0,0,"Action, Thriller","Jack Ryan is reluctantly pulled back into espionage when an international covert mission unravels a deadly conspiracy. Racing against time, he joins CIA allies Mike November & James Greer and sharp MI6 officer Emma Marlowe to battle a rogue black-ops unit in a high-stakes, deeply personal fight.",https://image.tmdb.org/t/p/original/8ehYxUh5MWE41AeE9gkHE8DKzvB.jpg,https://image.tmdb.org/t/p/original/dd31qJxOarrHyGZwYsCzOjobQzP.jpg,"John Krasinski, Wendell Pierce, Sienna Miller, Michael Kelly, Max Beesley",Andrew Bernstein
1439930,The Punisher: One Last Kill,2026-05-12,8.4,1360,314.4766,51,0,0,"Action, Drama, Crime","As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",https://image.tmdb.org/t/p/original/qQclTgLMDvGBuUBFGHRipxkEwWR.jpg,https://image.tmdb.org/t/p/original/qO55CD8tgVL1T4WKn6zYFFiD6lL.jpg,"Jon Bernthal, Deborah Ann Woll, Jason R. Moore, Judith Light, Kelli Barrett",Reinaldo Marcus Green
687163,Project Hail Mary,2026-03-15,8.645,4447,302.0827,157,200000000,676716397,"Science Fiction, Adventure","Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",https://image.tmdb.org/t/p/original/yihdXomYb5kTeSivtFndMy5iDmf.jpg,https://image.tmdb.org/t/p/original/2I1OFQJ0L9T0dpU6FobKFWV2PxX.jpg,"Ryan Gosling, Sandra Hüller, James Ortiz, Lionel Boyce, Milana Vayntrub",Phil Lord
1226863,The Super Mario Galaxy Movie,2026-04-01,8.096,2196,289.9814,98,110000000,991800000,"Family, Comedy, Adventure, Fantasy, Animation","Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",https://image.tmdb.org/t/p/original/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,https://image.tmdb.org/t/p/original/9Z2uDYXqJrlmePznQQJhL6d92Rq.jpg,"Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Donald Glover",Aaron Horvath
1582770,Dhurandhar: The Revenge,2026-03-18,7.24,102,268.0668,229,14330000,210000000,"Action, Crime, Thriller","As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.",https://image.tmdb.org/t/p/original/ov8vrRLZGoXHpYjSY9Vpv1tHJX7.jpg,https://image.tmdb.org/t/p/original/gRoZG3Z0zJxgElmTsVHOl2dNYXe.jpg,"Ranveer Singh, Arjun Rampal, R. Madhavan, Sanjay Dutt, Sara Arjun",Aditya Dhar
1083381,Backrooms,2026-05-27,6.791,175,273.5711,110,10000000,118000000,"Horror, Mystery, Science Fiction",A strange doorway appears in the basement of a furniture showroom.,https://image.tmdb.org/t/p/original/vpkNMkbisv5cTaIfCzUduYzXnjb.jpg,https://image.tmdb.org/t/p/original/mCpwRayjXMFzKHbjbzc5JRKfq1O.jpg,"Chiwetel Ejiofor, Renate Reinsve, Mark Duplass, Finn Bennett, Lukita Maxwell",Kane Parsons
1433117,Kara,2026-04-30,6.5,8,328.9697,161,0,0,"Crime, Drama, Thriller","A thief tries to go straight, but when predatory banks trap his father in debt, he returns to crime — with a determined cop closing in on his trail.",https://image.tmdb.org/t/p/original/uIrFdMWlJFdc1jPBP9bxeaISCDj.jpg,https://image.tmdb.org/t/p/original/jatqtz0VlQRiugmHktbKQpuf5EV.jpg,"Dhanush, Mamitha Baiju, K. S. Ravikumar, Suraj Venjaramoodu, Karunas",Vignesh Raja
1007757,Swapped,2026-05-01,8.984,1508,265.3704,102,0,0,"Adventure, Animation, Family, Fantasy","A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",https://image.tmdb.org/t/p/original/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg,https://image.tmdb.org/t/p/original/zMwhWailP1WY7sb6AoE6b8ugoy.jpg,"Michael B. Jordan, Juno Temple, Tracy Morgan, Cedric the Entertainer, Justina Machado",Nathan Greno
